State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Alabama,8/1/2026,4159,2363,56.8,-0.4,2282,81,8.8,3.4,,,,,,,,
Alaska,8/1/2026,559,366,65.5,1.0,351,16,-16.6,4.3,,,,,,,,
Arizona,8/1/2026,6182,3702,59.9,-2.1,3520,182,8.1,4.9,,,,,,,,
Arkansas,8/1/2026,2466,1458,59.1,1.2,1401,57,18.3,3.9,,,,,,,,
California,8/1/2026,31732,19499,61.5,-1.6,18506,993,15.4,5.1,,,,,,,,
Colorado,8/1/2026,4873,3182,65.3,-3.4,3054,128,28.5,4.0,,,,,,,,
Connecticut,8/1/2026,3030,1879,62.0,-4.3,1782,96,29.5,5.1,,,,,,,,
Delaware,8/1/2026,872,505,57.9,-3.1,482,24,36.9,4.7,,,,,,,,
District of Columbia,8/1/2026,573,402,70.3,-1.2,379,23,0.6,5.7,,,,,,,,
Florida,8/1/2026,19370,11115,57.4,-1.9,10613,502,62.5,4.5,,,,,,,,
Georgia,8/1/2026,9002,5490,61.0,-1.9,5315,175,-7.3,3.2,,,,,,,,
Hawaii,8/1/2026,1133,693,61.1,-0.2,674,19,25.6,2.7,,,,,,,,
Idaho,8/1/2026,1623,998,61.5,-2.7,962,36,40.9,3.6,,,,,,,,
Illinois,8/1/2026,10273,6477,63.1,-1.1,6170,307,23.7,4.7,,,,,,,,
Indiana,8/1/2026,5533,3488,63.0,-1.1,3374,114,-2.0,3.3,,,,,,,,
Iowa,8/1/2026,2573,1724,67.0,-2.1,1670,55,18.6,3.2,,,,,,,,
Kansas,8/1/2026,2333,1553,66.6,-0.5,1494,59,26.1,3.8,,,,,,,,
Kentucky,8/1/2026,3651,2110,57.8,-0.8,2010,99,16.5,4.7,,,,,,,,
Louisiana,8/1/2026,3609,2107,58.4,0.4,2019,88,-9.1,4.2,,,,,,,,
Maine,8/1/2026,1191,697,58.6,-3.5,675,22,1.1,3.2,,,,,,,,
Maryland,8/1/2026,5025,3200,63.7,-5.6,3070,130,12.8,4.1,,,,,,,,
Massachusetts,8/1/2026,5933,3872,65.3,-1.1,3706,166,41.1,4.3,,,,,,,,
Michigan,8/1/2026,8251,4853,58.8,-2.5,4612,241,29.5,5.0,,,,,,,,
Minnesota,8/1/2026,4680,3125,66.8,-3.2,2987,137,24.7,4.4,,,,,,,,
Mississippi,8/1/2026,2329,1275,54.7,-1.3,1231,44,-40.2,3.4,,,,,,,,
Missouri,8/1/2026,5009,3170,63.3,-0.7,3057,112,6.9,3.5,,,,,,,,
Montana,8/1/2026,935,575,61.5,-2.2,556,18,-5.6,3.2,,,,,,,,
Nebraska,8/1/2026,1581,1096,69.3,-0.8,1064,32,-0.7,2.9,,,,,,,,
Nevada,8/1/2026,2678,1676,62.6,-1.6,1595,81,18.9,4.8,,,,,,,,
New Hampshire,8/1/2026,1194,774,64.8,-3.4,753,21,8.2,2.8,,,,,,,,
New Jersey,8/1/2026,7738,4918,63.6,-0.9,4705,213,9.0,4.3,,,,,,,,
New Mexico,8/1/2026,1711,970,56.7,-1.1,924,46,-9.7,4.7,,,,,,,,
New York,8/1/2026,16369,10030,61.3,0.4,9597,433,4.9,4.3,,,,,,,,
North Carolina,8/1/2026,9047,5231,57.8,-3.6,5049,182,-4.1,3.5,,,,,,,,
North Dakota,8/1/2026,624,431,69.0,-0.3,421,10,4.8,2.2,,,,,,,,
Ohio,8/1/2026,9558,5857,61.3,-2.2,5662,195,-27.0,3.3,,,,,,,,
Oklahoma,8/1/2026,3226,1998,61.9,1.1,1913,85,46.8,4.3,,,,,,,,
Oregon,8/1/2026,3532,2208,62.5,1.5,2095,113,51.8,5.1,,,,,,,,
Pennsylvania,8/1/2026,10645,6659,62.6,-0.3,6409,250,-17.1,3.7,,,,,,,,
Rhode Island,8/1/2026,930,577,62.1,-2.1,556,21,2.3,3.7,,,,,,,,
South Carolina,8/1/2026,4549,2676,58.8,1.0,2567,109,59.8,4.1,,,,,,,,
South Dakota,8/1/2026,730,486,66.5,-2.7,476,10,-16.7,2.0,,,,,,,,
Tennessee,8/1/2026,5886,3486,59.2,-2.2,3366,120,3.8,3.4,,,,,,,,
Texas,8/1/2026,24817,15933,64.2,0.3,15225,708,41.0,4.4,,,,,,,,
Utah,8/1/2026,2753,1826,66.3,-1.9,1762,64,57.6,3.5,,,,,,,,
Vermont,8/1/2026,544,338,62.1,-3.7,329,9,13.2,2.6,,,,,,,,
Virginia,8/1/2026,7106,4465,62.8,-2.8,4305,160,25.6,3.6,,,,,,,,
Washington,8/1/2026,6522,4044,62.0,-3.4,3846,197,32.1,4.9,,,,,,,,
West Virginia,8/1/2026,1436,772,53.8,-1.2,741,31,-25.9,4.0,,,,,,,,
Wisconsin,8/1/2026,4867,3148,64.7,-1.5,3046,102,6.5,3.2,,,,,,,,
Wyoming,8/1/2026,473,285,60.2,-5.6,276,9,-37.9,3.0,,,,,,,,
Alabama,7/1/2026,4157,2366,56.9,-0.3,2286,79,7.1,3.4,,,,,,,,
Alaska,7/1/2026,559,367,65.7,1.2,351,16,-15.7,4.3,,,,,,,,
Arizona,7/1/2026,6177,3710,60.1,-1.9,3529,181,7.5,4.9,,,,,,,,
Arkansas,7/1/2026,2465,1458,59.2,1.3,1399,59,22.0,4.0,,,,,,,,
California,7/1/2026,31733,19550,61.6,-1.4,18543,1007,17.1,5.1,,,,,,,,
Colorado,7/1/2026,4871,3189,65.5,-3.2,3064,125,25.2,3.9,,,,,,,,
Connecticut,7/1/2026,3029,1883,62.2,-4.1,1784,98,32.3,5.2,,,,,,,,
Delaware,7/1/2026,871,507,58.1,-2.9,482,24,40.8,4.8,,,,,,,,
District of Columbia,7/1/2026,573,402,70.2,-1.3,378,24,3.6,5.9,,,,,,,,
Florida,7/1/2026,19357,11121,57.4,-1.9,10606,514,66.4,4.6,,,,,,,,
Georgia,7/1/2026,8995,5481,60.9,-2.0,5302,179,-5.4,3.3,,,,,,,,
Hawaii,7/1/2026,1133,691,61.0,-0.4,673,18,22.6,2.7,,,,,,,,
Idaho,7/1/2026,1620,999,61.6,-2.5,963,36,41.2,3.6,,,,,,,,
Illinois,7/1/2026,10271,6500,63.3,-0.9,6184,316,27.3,4.9,,,,,,,,
Indiana,7/1/2026,5530,3490,63.1,-1.1,3376,114,-2.4,3.3,,,,,,,,
Iowa,7/1/2026,2572,1727,67.1,-2.0,1672,55,18.6,3.2,,,,,,,,
Kansas,7/1/2026,2331,1556,66.7,-0.4,1497,59,25.6,3.8,,,,,,,,
Kentucky,7/1/2026,3649,2104,57.7,-0.9,2004,100,17.0,4.7,,,,,,,,
Louisiana,7/1/2026,3608,2111,58.5,0.5,2018,92,-5.0,4.4,,,,,,,,
Maine,7/1/2026,1190,700,58.8,-3.2,678,22,-0.7,3.1,,,,,,,,
Maryland,7/1/2026,5023,3203,63.8,-5.5,3068,135,17.5,4.2,,,,,,,,
Massachusetts,7/1/2026,5932,3871,65.3,-1.1,3702,169,43.0,4.4,,,,,,,,
Michigan,7/1/2026,8249,4878,59.1,-2.2,4637,241,29.7,4.9,,,,,,,,
Minnesota,7/1/2026,4677,3127,66.9,-3.1,2991,136,23.5,4.3,,,,,,,,
Mississippi,7/1/2026,2329,1280,55.0,-1.0,1234,46,-36.4,3.6,,,,,,,,
Missouri,7/1/2026,5006,3167,63.3,-0.7,3054,114,7.9,3.6,,,,,,,,
Montana,7/1/2026,934,574,61.5,-2.2,556,19,-4.0,3.2,,,,,,,,
Nebraska,7/1/2026,1580,1097,69.4,-0.7,1065,32,-0.2,2.9,,,,,,,,
Nevada,7/1/2026,2676,1682,62.8,-1.3,1597,84,23.6,5.0,,,,,,,,
New Hampshire,7/1/2026,1193,775,65.0,-3.2,753,22,10.8,2.8,,,,,,,,
New Jersey,7/1/2026,7736,4911,63.5,-1.0,4694,216,10.8,4.4,,,,,,,,
New Mexico,7/1/2026,1710,971,56.8,-1.1,925,46,-8.9,4.8,,,,,,,,
New York,7/1/2026,16368,10040,61.3,0.4,9597,443,7.4,4.4,,,,,,,,
North Carolina,7/1/2026,9036,5238,58.0,-3.4,5052,186,-1.9,3.6,,,,,,,,
North Dakota,7/1/2026,623,431,69.2,-0.1,422,10,6.2,2.2,,,,,,,,
Ohio,7/1/2026,9555,5867,61.4,-2.1,5668,200,-25.4,3.4,,,,,,,,
Oklahoma,7/1/2026,3224,1997,61.9,1.2,1912,85,47.2,4.3,,,,,,,,
Oregon,7/1/2026,3531,2205,62.4,1.4,2091,114,53.3,5.2,,,,,,,,
Pennsylvania,7/1/2026,10643,6651,62.5,-0.3,6389,261,-13.3,3.9,,,,,,,,
Rhode Island,7/1/2026,929,577,62.1,-2.1,555,22,7.4,3.9,,,,,,,,
South Carolina,7/1/2026,4543,2673,58.8,1.0,2560,112,64.8,4.2,,,,,,,,
South Dakota,7/1/2026,730,487,66.8,-2.4,477,10,-15.8,2.0,,,,,,,,
Tennessee,7/1/2026,5881,3486,59.3,-2.1,3366,120,4.4,3.4,,,,,,,,
Texas,7/1/2026,24794,15916,64.2,0.3,15207,708,41.1,4.5,,,,,,,,
Utah,7/1/2026,2750,1823,66.3,-2.0,1758,65,59.4,3.6,,,,,,,,
Vermont,7/1/2026,544,338,62.1,-3.7,329,9,13.9,2.6,,,,,,,,
Virginia,7/1/2026,7102,4473,63.0,-2.6,4307,165,29.5,3.7,,,,,,,,
Washington,7/1/2026,6518,4048,62.1,-3.3,3846,203,35.7,5.0,,,,,,,,
West Virginia,7/1/2026,1435,773,53.8,-1.1,741,32,-24.1,4.1,,,,,,,,
Wisconsin,7/1/2026,4865,3140,64.5,-1.6,3037,103,7.1,3.3,,,,,,,,
Wyoming,7/1/2026,473,285,60.3,-5.5,277,9,-36.9,3.0,,,,,,,,
Alabama,6/1/2026,4155,2371,57.1,-0.2,2294,77,3.4,3.2,,,,,,,,
Alaska,6/1/2026,559,368,65.8,1.4,352,16,-13.7,4.4,,,,,,,,
Arizona,6/1/2026,6172,3724,60.3,-1.7,3543,181,7.3,4.9,,,,,,,,
Arkansas,6/1/2026,2463,1458,59.2,1.3,1398,60,24.0,4.1,,,,,,,,
California,6/1/2026,31738,19620,61.8,-1.2,18596,1024,19.1,5.2,,,,,,,,
Colorado,6/1/2026,4870,3193,65.6,-3.1,3069,125,25.1,3.9,,,,,,,,
Connecticut,6/1/2026,3028,1889,62.4,-3.9,1792,98,31.1,5.2,,,,,,,,
Delaware,6/1/2026,871,508,58.4,-2.7,483,25,45.7,4.9,,,,,,,,
District of Columbia,6/1/2026,573,403,70.3,-1.1,378,24,6.0,6.0,,,,,,,,
Florida,6/1/2026,19348,11139,57.6,-1.7,10614,524,69.6,4.7,,,,,,,,
Georgia,6/1/2026,8988,5478,60.9,-2.0,5294,184,-3.0,3.4,,,,,,,,
Hawaii,6/1/2026,1133,690,60.9,-0.4,673,18,19.5,2.6,,,,,,,,
Idaho,6/1/2026,1618,1000,61.8,-2.4,964,37,43.3,3.7,,,,,,,,
Illinois,6/1/2026,10270,6524,63.5,-0.6,6194,330,32.9,5.1,,,,,,,,
Indiana,6/1/2026,5527,3491,63.2,-1.0,3376,115,-1.6,3.3,,,,,,,,
Iowa,6/1/2026,2572,1730,67.3,-1.9,1674,55,19.9,3.2,,,,,,,,
Kansas,6/1/2026,2330,1561,67.0,-0.1,1501,60,27.8,3.8,,,,,,,,
Kentucky,6/1/2026,3647,2098,57.5,-1.1,1999,98,15.3,4.7,,,,,,,,
Louisiana,6/1/2026,3608,2116,58.7,0.7,2022,94,-3.0,4.4,,,,,,,,
Maine,6/1/2026,1190,702,59.0,-3.0,680,22,-1.3,3.1,,,,,,,,
Maryland,6/1/2026,5022,3208,63.9,-5.4,3069,139,20.8,4.3,,,,,,,,
Massachusetts,6/1/2026,5932,3873,65.3,-1.0,3702,171,45.1,4.4,,,,,,,,
Michigan,6/1/2026,8246,4907,59.5,-1.8,4660,247,33.0,5.0,,,,,,,,
Minnesota,6/1/2026,4674,3131,67.0,-3.0,2994,137,24.2,4.4,,,,,,,,
Mississippi,6/1/2026,2328,1284,55.2,-0.8,1236,48,-34.0,3.8,,,,,,,,
Missouri,6/1/2026,5004,3168,63.3,-0.7,3052,116,10.6,3.7,,,,,,,,
Montana,6/1/2026,934,574,61.5,-2.1,555,19,-0.9,3.3,,,,,,,,
Nebraska,6/1/2026,1579,1099,69.6,-0.5,1067,32,1.4,2.9,,,,,,,,
Nevada,6/1/2026,2674,1687,63.1,-1.1,1600,86,26.7,5.1,,,,,,,,
New Hampshire,6/1/2026,1193,776,65.1,-3.2,753,23,14.8,2.9,,,,,,,,
New Jersey,6/1/2026,7734,4908,63.5,-1.0,4685,223,14.3,4.5,,,,,,,,
New Mexico,6/1/2026,1710,972,56.9,-1.0,926,47,-7.4,4.8,,,,,,,,
New York,6/1/2026,16369,10066,61.5,0.6,9606,459,11.3,4.6,,,,,,,,
North Carolina,6/1/2026,9026,5263,58.3,-3.1,5073,190,0.1,3.6,,,,,,,,
North Dakota,6/1/2026,623,433,69.5,0.2,423,10,10.0,2.3,,,,,,,,
Ohio,6/1/2026,9551,5882,61.6,-1.9,5673,209,-22.0,3.6,,,,,,,,
Oklahoma,6/1/2026,3222,1996,61.9,1.1,1912,83,43.9,4.2,,,,,,,,
Oregon,6/1/2026,3530,2204,62.4,1.4,2089,115,54.2,5.2,,,,,,,,
Pennsylvania,6/1/2026,10641,6643,62.4,-0.4,6371,271,-9.9,4.1,,,,,,,,
Rhode Island,6/1/2026,929,579,62.3,-1.9,555,24,13.1,4.1,,,,,,,,
South Carolina,6/1/2026,4537,2673,58.9,1.1,2555,118,73.4,4.4,,,,,,,,
South Dakota,6/1/2026,729,489,67.0,-2.2,479,10,-14.3,2.0,,,,,,,,
Tennessee,6/1/2026,5877,3492,59.4,-2.0,3368,124,7.5,3.5,,,,,,,,
Texas,6/1/2026,24772,15905,64.2,0.3,15204,701,39.7,4.4,,,,,,,,
Utah,6/1/2026,2746,1822,66.4,-1.9,1756,66,62.8,3.6,,,,,,,,
Vermont,6/1/2026,544,339,62.3,-3.6,330,9,14.8,2.6,,,,,,,,
Virginia,6/1/2026,7097,4481,63.1,-2.5,4313,168,31.7,3.8,,,,,,,,
Washington,6/1/2026,6513,4059,62.3,-3.1,3849,209,40.1,5.2,,,,,,,,
West Virginia,6/1/2026,1435,773,53.9,-1.1,741,33,-22.3,4.2,,,,,,,,
Wisconsin,6/1/2026,4863,3135,64.5,-1.7,3030,105,9.3,3.3,,,,,,,,
Wyoming,6/1/2026,472,286,60.5,-5.3,277,9,-34.0,3.2,,,,,,,,
Alabama,5/1/2026,4152,2374,57.2,-0.1,2302,72,-2.7,3.0,,,,,,,,
Alaska,5/1/2026,559,369,66.0,1.6,352,17,-10.7,4.6,,,,,,,,
Arizona,5/1/2026,6168,3745,60.7,-1.3,3566,179,6.0,4.8,,,,,,,,
Arkansas,5/1/2026,2462,1456,59.1,1.2,1395,61,25.8,4.2,,,,,,,,
California,5/1/2026,31742,19668,62.0,-1.1,18630,1038,20.7,5.3,,,,,,,,
Colorado,5/1/2026,4868,3206,65.9,-2.8,3080,126,26.2,3.9,,,,,,,,
Connecticut,5/1/2026,3028,1900,62.8,-3.5,1803,97,30.8,5.1,,,,,,,,
Delaware,5/1/2026,870,510,58.7,-2.4,484,26,51.0,5.1,,,,,,,,
